tier_option	weight_set	human_gene_symbol	rank	score
A	default	BASP1	95	0.711871
A	default	SCG3	96	0.711628
A	default	TXN	97	0.710329
A	default	ANXA5	98	0.709852
A	default	CAPN1	99	0.709727
A	default	FAM3C	100	0.708479
A	default	HPX	101	0.70494
A	default	PDIA3	102	0.704635
A	default	LGALS1	103	0.704522
A	default	APOA4	104	0.704503
A	default	MST1	105	0.704378
A	default	PCSK1N	106	0.70414
A	default	NEU1	107	0.703904
A	default	NPEPPS	108	0.703503
A	default	SCG2	109	0.702403
A	default	SEZ6L2	110	0.70135
A	default	CADM4	111	0.699929
A	default	TPI1	112	0.69965
A	default	ARHGDIA	113	0.69566
A	default	AHSG	114	0.693813
A	default	MDH2	115	0.693659
A	default	YWHAQ	116	0.693006
A	default	SERPINI1	117	0.692174
A	default	SERPINF1	118	0.691376
A	default	NCAM1	119	0.691289
A	default	DBI	120	0.690977
A	default	TKT	121	0.68911
A	default	SEMA7A	122	0.687749
A	default	PPIB	123	0.686063
A	default	TIMP2	124	0.685776
A	default	LRP1	125	0.684693
A	default	P4HB	126	0.683615
A	default	APOD	127	0.683428
A	default	STX7	128	0.683316
A	default	GLUL	129	0.683104
A	default	BTD	130	0.682769
A	default	GUSB	131	0.682538
A	default	ATP6V1H	132	0.681898
A	default	IGFBP4	133	0.681469
A	default	ALDOC	134	0.680844
A	default	MFGE8	135	0.680595
A	default	CLSTN3	136	0.680003
A	default	ENPP2	137	0.68
A	default	SPARCL1	138	0.68
A	default	TTR	139	0.68
A	default	SERPINC1	140	0.679929
A	default	QDPR	141	0.679424
A	default	BCAN	142	0.679256
A	default	AGT	143	0.679256
A	default	B4GAT1	144	0.678289
A	default	SCG5	145	0.677024
A	default	GALC	146	0.676826
A	default	AP2B1	147	0.676735
A	default	NTM	148	0.67628
A	default	SIAE	149	0.675988
A	default	GANAB	150	0.675527
A	default	CHID1	151	0.675425
A	default	NPC1	152	0.675122
A	default	ITIH3	153	0.674662
A	default	LIPA	154	0.674643
A	default	PTPRZ1	155	0.674196
A	default	ESD	156	0.673564
A	default	PENK	157	0.673217
A	default	GPLD1	158	0.672812
A	default	EGFR	159	0.672422
A	default	CAB39	160	0.672216
A	default	DSTN	161	0.672033
A	default	PLD3	162	0.672031
A	default	TALDO1	163	0.671902
A	default	STAT1	164	0.671862
A	default	NPTXR	165	0.671518
A	default	ITM2B	166	0.67137
A	default	MIF	167	0.671006
A	default	NCSTN	168	0.669865
A	default	NPTX1	169	0.669732
A	default	PTPRN2	170	0.669732
A	default	GDI2	171	0.668189
A	default	VCL	172	0.667947
A	default	PGD	173	0.667868
A	default	SEZ6L	174	0.667548
A	default	CAST	175	0.666256
A	default	DAG1	176	0.665963
A	default	BLVRB	177	0.665849
A	default	CSF1R	178	0.665171
A	default	DPP7	179	0.664909
A	default	NEO1	180	0.664648
A	default	AGRN	181	0.664212
A	default	CNTN2	182	0.664003
A	default	GAS6	183	0.663906
A	default	OMG	184	0.663621
A	default	GSN	185	0.663276
A	default	FBLN1	186	0.662765
A	default	SORL1	187	0.662119
A	default	PDXK	188	0.662069
A	default	ENO3	189	0.66188
A	default	CP	190	0.661484
A	default	AK1	191	0.66132
A	default	WDR1	192	0.661164
A	default	GLO1	193	0.660874
A	default	PRKCSH	194	0.659538
A	default	NUTF2	195	0.659355
A	default	NCAM2	196	0.659212
A	default	MINPP1	197	0.659183
A	default	GPI	198	0.657861
A	default	PGLS	199	0.657629
A	default	PIK3IP1	200	0.657294
A	default	VGF	201	0.657228
A	default	NEGR1	202	0.656363
A	default	ABCA2	203	0.655918
A	default	CRTAC1	204	0.655893
A	default	CTSC	205	0.655644
A	default	PSMA6	206	0.654863
A	default	RBP1	207	0.654369
A	default	FGFR1	208	0.65373
A	default	EFNB3	209	0.653678
A	default	ALCAM	210	0.653592
A	default	IGFBP5	211	0.65325
A	default	CTSO	212	0.652093
A	default	TNFRSF21	213	0.651131
A	default	PGM1	214	0.650877
A	default	HINT1	215	0.650872
A	default	AKR1A1	216	0.650456
A	default	HSPD1	217	0.650338
A	default	NBR1	218	0.65
A	default	CA2	219	0.649169
A	default	LMAN2	220	0.649129
A	default	RNH1	221	0.648739
A	default	GRN	222	0.648105
A	default	ACE	223	0.647783
A	default	SPOCK2	224	0.647728
A	default	TXNDC17	225	0.646706
A	default	BSG	226	0.646149
A	default	COTL1	227	0.64578
A	default	TAGLN2	228	0.644539
A	default	MAN2B2	229	0.643305
A	default	DLD	230	0.642756
A	default	LRRC4B	231	0.642526
A	default	PLXNB2	232	0.642289
A	default	PLA2G7	233	0.64122
A	default	SOD2	234	0.640433
A	default	NPDC1	235	0.639965
A	default	ACP1	236	0.639778
A	default	PRNP	237	0.639613
A	default	LY6H	238	0.638818
A	default	CDH13	239	0.63878
A	default	CNTFR	240	0.638673
A	default	CHL1	241	0.638333
A	default	EXTL2	242	0.637902
A	default	PSMA5	243	0.63735
A	default	UCHL1	244	0.636885
A	default	EPHA4	245	0.636101
A	default	RNASET2	246	0.636055
A	default	MYO6	247	0.635914
A	default	CLIC1	248	0.634342
A	default	VCAM1	249	0.634256
A	default	C1QC	250	0.634007
A	default	ACYP2	251	0.633492
A	default	PTPRS	252	0.633256
A	default	ATOX1	253	0.633174
A	default	PCMT1	254	0.63302
A	default	MB	255	0.632976
A	default	GFRA2	256	0.632864
A	default	NRXN3	257	0.631935
A	default	C1QA	258	0.631464
A	default	CNDP2	259	0.631009
A	default	HNRNPK	260	0.630798
A	default	L1CAM	261	0.630481
A	default	PLXDC2	262	0.630461
A	default	IL1RAP	263	0.629911
A	default	FN1	264	0.629568
A	default	NPTN	265	0.629348
A	default	HNRNPA2B1	266	0.629217
A	default	NCAN	267	0.628988
A	default	CADM3	268	0.628713
A	default	PGK1	269	0.628453
A	default	THBS4	270	0.628219
A	default	DCN	271	0.62765
A	default	IDUA	272	0.627511
A	default	TUBA4A	273	0.627157
A	default	OLFM1	274	0.627023
A	default	NFASC	275	0.626804
A	default	TFRC	276	0.626723
A	default	PSMA7	277	0.625895
A	default	TMEM9	278	0.625537
A	default	FABP5	279	0.625019
A	default	ACO2	280	0.624977
A	default	CD44	281	0.624242
A	default	PFKM	282	0.623806
A	default	GPC1	283	0.623802
A	default	NSF	284	0.623194
A	default	AHCY	285	0.622719
A	default	SERPINF2	286	0.622663
A	default	CSPG5	287	0.622385
A	default	PCOLCE	288	0.621851
A	default	PFN2	289	0.621714
A	default	F13A1	290	0.621079
A	default	CACNA2D1	291	0.619337
A	default	QSOX1	292	0.619217
A	default	PFN1	293	0.618699
A	default	TUBB	294	0.618429
A	default	HYOU1	295	0.618235
A	default	FTH1	296	0.61812
A	default	TGOLN2	297	0.617489
A	default	CFL2	298	0.617404
A	default	GDI1	299	0.616812
A	default	CKM	300	0.616407
A	default	SPARC	301	0.616029
A	default	TNR	302	0.615862
A	default	MRC2	303	0.61568
A	default	HK1	304	0.615499
A	default	GC	305	0.615277
A	default	IGFBP2	306	0.615225
A	default	CACNA2D2	307	0.615141
A	default	GDA	308	0.613721
A	default	SORCS3	309	0.613572
A	default	DDB1	310	0.613433
A	default	PVALB	311	0.613421
A	default	PRDX1	312	0.612781
A	default	GAP43	313	0.612716
A	default	AZGP1	314	0.612713
A	default	HPRT1	315	0.612495
A	default	IFI30	316	0.612308
A	default	PTPRG	317	0.612181
A	default	NELL2	318	0.611316
A	default	CA1	319	0.611229
A	default	HSPG2	320	0.610976
A	default	SERPINA3	321	0.610917
A	default	CDH11	322	0.610844
A	default	HTRA1	323	0.610699
A	default	NRP1	324	0.610196
A	default	CNTN4	325	0.609977
A	default	GPR37	326	0.609693
A	default	TPPP3	327	0.609639
A	default	LINGO1	328	0.609315
A	default	CA3	329	0.609195
A	default	ACTN4	330	0.608748
A	default	OPCML	331	0.608571
A	default	SERPINE2	332	0.608507
A	default	IGSF8	333	0.608397
A	default	NAXE	334	0.607784
A	default	SORT1	335	0.607612
A	default	PMCH	336	0.60733
A	default	GAPDH	337	0.606902
A	default	VCAN	338	0.606836
A	default	PYGM	339	0.606696
A	default	MYL6	340	0.606628
A	default	CELSR2	341	0.606626
A	default	RBP4	342	0.606368
A	default	ANXA6	343	0.606263
A	default	YWHAH	344	0.606262
A	default	TMEM132A	345	0.605955
A	default	DNASE2	346	0.60594
A	default	SPTBN1	347	0.60585
A	default	FABP3	348	0.605748
A	default	CACNA2D3	349	0.605509
A	default	C1QB	350	0.605336
A	default	IMPA1	351	0.605016
A	default	CD200	352	0.604926
A	default	MYH9	353	0.604635
A	default	SDF4	354	0.604437
A	default	GALNT2	355	0.604273
A	default	BLMH	356	0.604024
A	default	HSPA5	357	0.603822
A	default	GPR37L1	358	0.603605
A	default	ANXA2	359	0.603488
A	default	IGF2	360	0.603427
A	default	PSMA3	361	0.603254
A	default	ADAM22	362	0.603011
A	default	CTSL	363	0.602932
A	default	SEMA4B	364	0.602442
A	default	F2	365	0.602038
A	default	OLFML3	366	0.60192
A	default	CLN5	367	0.601752
A	default	APLP2	368	0.601533
A	default	ENO2	369	0.600892
A	default	GSTP1	370	0.600361
A	default	ATP1B1	371	0.600183
A	default	ABCB9	372	0.6
A	default	TELO2	373	0.599055
A	default	OGN	374	0.599043
A	default	PTPRN	375	0.598899
A	default	EFNB2	376	0.598575
A	default	FSCN1	377	0.598533
A	default	ALDH2	378	0.597932
A	default	CFD	379	0.597752
A	default	MAPK1	380	0.597727
A	default	PTPRF	381	0.596449
A	default	CKB	382	0.596409
A	default	ITIH5	383	0.595341
A	default	BPGM	384	0.595293
A	default	CD59	385	0.59507
A	default	PSMB1	386	0.595
A	default	SORCS1	387	0.593811
A	default	ALDOA	388	0.593406
A	default	COCH	389	0.593232
A	default	CADM2	390	0.59323
A	default	NDRG4	391	0.592947
A	default	PSMA1	392	0.5921
A	default	SH3BGRL	393	0.591996
A	default	HMGB1	394	0.591995
A	default	S100B	395	0.591905
A	default	RELN	396	0.591889
A	default	SEZ6	397	0.591688
A	default	DPP3	398	0.591523
A	default	GOT2	399	0.591479
A	default	ACHE	400	0.591451
A	default	EFEMP1	401	0.591432
A	default	GPX3	402	0.591349
A	default	LTA4H	403	0.59096
A	default	RNASE4	404	0.590835
A	default	IL6ST	405	0.590659
A	default	PREP	406	0.590093
A	default	FBLN5	407	0.58997
A	default	EPHB6	408	0.589884
A	default	BIN1	409	0.589844
A	default	GSTM3	410	0.589706
A	default	CAT	411	0.589561
A	default	GLOD4	412	0.58946
A	default	CAPZB	413	0.589079
A	default	LUM	414	0.588963
A	default	CLEC3B	415	0.5888
A	default	UGP2	416	0.588639
A	default	TXNL1	417	0.58859
A	default	ITIH2	418	0.588587
A	default	XXYLT1	419	0.588566
A	default	SH3BGRL3	420	0.588264
A	default	ABHD14B	421	0.588173
A	default	WBP2	422	0.58792
A	default	CFI	423	0.587597
A	default	F5	424	0.587593
A	default	CDH2	425	0.587145
A	default	ENDOD1	426	0.587035
A	default	MAN2A2	427	0.58686
A	default	PLS3	428	0.586736
A	default	SERPING1	429	0.585572
A	default	MCAM	430	0.585513
A	default	MARK4	431	0.585417
A	default	GRIA4	432	0.584814
A	default	NID1	433	0.583865
A	default	MANF	434	0.583802
A	default	RTN4RL2	435	0.583689
A	default	SGCE	436	0.583353
A	default	HYAL1	437	0.583259
A	default	PTPRK	438	0.582063
A	default	RAD23B	439	0.581945
A	default	PSMA2	440	0.581842
A	default	COL1A2	441	0.58166
A	default	SPON1	442	0.58144
A	default	BPNT1	443	0.581291
A	default	ERAP1	444	0.580844
A	default	USP5	445	0.580834
A	default	ARSA	446	0.580731
A	default	HSPB1	447	0.580713
A	default	SLITRK1	448	0.580391
A	default	HRG	449	0.58
A	default	KNG1	450	0.58
A	default	IGSF1	451	0.579962
A	default	TAGLN3	452	0.57996
A	default	LMNA	453	0.57982
A	default	TUBB4B	454	0.579674
A	default	CALU	455	0.579559
A	default	FETUB	456	0.579256
A	default	HSP90AA1	457	0.579187
A	default	SERPINA6	458	0.579169
A	default	RTN4R	459	0.579052
A	default	FRRS1L	460	0.578636
A	default	CACHD1	461	0.578492
A	default	HDHD2	462	0.578454
A	default	CREG1	463	0.578257
A	default	ACTR3	464	0.578239
A	default	MAG	465	0.578048
A	default	CNTNAP2	466	0.578038
A	default	AHNAK	467	0.577508
A	default	SMPDL3A	468	0.577177
A	default	CUTA	469	0.576788
A	default	MMP2	470	0.57661
A	default	SOD3	471	0.57628
A	default	HNRNPD	472	0.576236
A	default	ALDH9A1	473	0.575324
A	default	CNTN3	474	0.575293
A	default	CSRP1	475	0.574899
A	default	FSTL1	476	0.574768
A	default	PTGES3	477	0.574296
A	default	GLRX	478	0.574071
A	default	FH	479	0.573645
A	default	MAP4	480	0.573052
A	default	NTRK2	481	0.573013
A	default	MEGF10	482	0.572857
A	default	IGFBP6	483	0.572685
A	default	ATRN	484	0.572655
A	default	ATP1A2	485	0.572391
A	default	HSPA9	486	0.572143
A	default	ATP5F1A	487	0.572024
A	default	UBE2D2	488	0.572024
A	default	ADAM10	489	0.572013
A	default	SERPINA7	490	0.571853
A	default	CDH8	491	0.571611
A	default	TCN2	492	0.571518
A	default	ITIH1	493	0.571437
A	default	ARPC4	494	0.571317
A	default	VLDLR	495	0.571214
A	default	PRDX3	496	0.570823
A	default	PDIA6	497	0.570778
A	default	TGFBI	498	0.570751
A	default	FAT2	499	0.570365
A	default	CNTNAP4	500	0.570365
A	default	CX3CL1	501	0.570332
A	default	DNER	502	0.57008
A	default	PSME1	503	0.569916
A	default	RGMA	504	0.569535
A	default	GOLM1	505	0.569532
A	default	CSPG4	506	0.569457
A	default	PRDX4	507	0.569331
A	default	SELENBP1	508	0.569078
A	default	PSMB2	509	0.568875
A	default	PRRT3	510	0.56887
A	default	NSG1	511	0.568817
A	default	COPB2	512	0.568508
A	default	AP2A2	513	0.568236
A	default	NTNG1	514	0.567891
A	default	PDIA4	515	0.56788
A	default	ENPP5	516	0.567653
A	default	GOLIM4	517	0.567583
A	default	EEF1D	518	0.56677
A	default	CFL1	519	0.566616
A	default	CAND1	520	0.566326
A	default	KIT	521	0.566213
A	default	MGAT5	522	0.566189
A	default	CPD	523	0.56613
A	default	PCSK2	524	0.566031
A	default	RTN4RL1	525	0.565918
A	default	CRYM	526	0.565778
A	default	APOH	527	0.565095
A	default	LDLR	528	0.565089
A	default	APOA2	529	0.564843
A	default	GMFB	530	0.564509
A	default	RPLP2	531	0.564347
A	default	S100A11	532	0.564173
A	default	SERPIND1	533	0.563995
A	default	DPYSL3	534	0.563868
A	default	SCRG1	535	0.563565
A	default	SKP1	536	0.563542
A	default	DLST	537	0.563464
A	default	YWHAB	538	0.562816
A	default	ACTR2	539	0.562426
A	default	UBA1	540	0.561759
A	default	LUZP2	541	0.561597
A	default	CDH4	542	0.561229
A	default	ARPC2	543	0.560955
A	default	BDNF	544	0.560937
A	default	SERPINA1	545	0.560357
A	default	SGSH	546	0.560352
A	default	PRELP	547	0.559464
A	default	LMAN1	548	0.559186
A	default	CDH10	549	0.559101
A	default	TNC	550	0.558747
A	default	CFB	551	0.558664
A	default	RNPEP	552	0.558522
A	default	ENO1	553	0.558115
A	default	PTK7	554	0.558019
A	default	RAN	555	0.557386
A	default	IGFBP3	556	0.557316
A	default	SDC4	557	0.556903
A	default	ATP5F1B	558	0.556728
A	default	DDAH2	559	0.556556
A	default	PPP5C	560	0.556442
A	default	CD81	561	0.556419
A	default	AMBP	562	0.556253
A	default	VCP	563	0.555987
A	default	ACTG1	564	0.555921
A	default	PSMA4	565	0.555739
A	default	F12	566	0.555498
A	default	ME1	567	0.555492
A	default	IGSF21	568	0.555208
A	default	EEF2	569	0.555202
A	default	PRRT2	570	0.555
A	default	STMN1	571	0.55499
A	default	COL1A1	572	0.554487
A	default	GGCT	573	0.554465
A	default	GSR	574	0.554354
A	default	TPM3	575	0.554276
A	default	PLEC	576	0.554029
A	default	NID2	577	0.553828
A	default	SPOCK3	578	0.553754
A	default	SCRN1	579	0.553667
A	default	KIAA0319L	580	0.553282
A	default	ERP44	581	0.553253
A	default	SLC39A10	582	0.552969
A	default	VIP	583	0.552928
A	default	PCDHGC3	584	0.552823
A	default	ADGRL1	585	0.552777
A	default	AKAP12	586	0.552764
A	default	PCDH1	587	0.552721
A	default	HSP90AB1	588	0.552593
A	default	PTN	589	0.552377
A	default	LAMC1	590	0.552274
A	default	PRKAR1A	591	0.552161
A	default	FGFR3	592	0.552093
A	default	MEGF9	593	0.552093
A	default	FAH	594	0.552056
A	default	SLITRK4	595	0.551808
A	default	DTD1	596	0.551669
A	default	KLKB1	597	0.551429
A	default	EIF5A	598	0.55125
A	default	G6PD	599	0.5512
A	default	NRN1	600	0.551182
A	default	DDX39B	601	0.551159
A	default	AGA	602	0.551115
A	default	YWHAG	603	0.551036
A	default	MOG	604	0.550908
A	default	F10	605	0.550818
A	default	AEBP1	606	0.550632
A	default	EPHA7	607	0.550043
A	default	MT3	608	0.55
A	default	GSS	609	0.549695
A	default	VSTM2A	610	0.549259
A	default	SLC3A2	611	0.549213
A	default	PHGDH	612	0.54843
A	default	NUDC	613	0.548206
A	default	CDH6	614	0.54794
A	default	EEF1G	615	0.547734
A	default	LASP1	616	0.547628
A	default	SPTAN1	617	0.545814
A	default	ALDH1A1	618	0.545809
A	default	NDRG2	619	0.545653
A	default	CLTC	620	0.545166
A	default	ST13	621	0.545067
A	default	PTPA	622	0.544776
A	default	PDXP	623	0.5444
A	default	EFNB1	624	0.544385
A	default	MAPT	625	0.543178
A	default	CALML3	626	0.542857
A	default	EEF1A1	627	0.542727
A	default	AFM	628	0.5425
A	default	NENF	629	0.542208
A	default	GPM6A	630	0.542113
A	default	SIRPA	631	0.542054
A	default	NCL	632	0.542041
A	default	PSME2	633	0.541952
A	default	GRB2	634	0.541919
A	default	PSAT1	635	0.541706
A	default	LGI3	636	0.541601
A	default	LRTM2	637	0.541477
A	default	GALNT16	638	0.541127
A	default	NME1	639	0.541117
A	default	HSPA1A	640	0.540997
A	default	CLTB	641	0.540232
A	default	NLGN3	642	0.539864
A	default	CALCA	643	0.539509
A	default	IGF2R	644	0.538721
A	default	TBCA	645	0.538489
A	default	LFNG	646	0.538409
A	default	CD5L	647	0.538074
A	default	INA	648	0.537729
A	default	PLA2G15	649	0.537372
A	default	CBLN3	650	0.537143
A	default	PCDH7	651	0.537143
A	default	PCDH10	652	0.537143
A	default	PCDH17	653	0.537143
A	default	KLK6	654	0.537143
A	default	ABAT	655	0.537115
A	default	CAMK2G	656	0.537115
A	default	DPYSL2	657	0.537048
A	default	CD99L2	658	0.536546
A	default	SLC6A1	659	0.536533
A	default	ADAM23	660	0.536368
A	default	COL6A1	661	0.536105
A	default	PCDH9	662	0.536027
A	default	LGI1	663	0.536023
A	default	PPP3CA	664	0.535171
A	default	PLXNB1	665	0.535141
A	default	PCDHGC5	666	0.534911
A	default	DYNC1H1	667	0.534892
A	default	ARPC3	668	0.53486
A	default	CCT7	669	0.53437
A	default	AMPH	670	0.534301
A	default	JUP	671	0.534169
A	default	SERPINB6	672	0.533993
A	default	MPI	673	0.533649
A	default	DCC	674	0.532686
A	default	BGN	675	0.532685
A	default	COL3A1	676	0.532403
A	default	SLC39A6	677	0.532337
A	default	UCHL3	678	0.532319
A	default	TAGLN	679	0.532272
A	default	CANX	680	0.53208
A	default	SLC12A5	681	0.531845
A	default	ICAM1	682	0.531789
A	default	FKBP4	683	0.531759
A	default	KCTD12	684	0.531645
A	default	PLOD1	685	0.531637
A	default	STX1B	686	0.530824
A	default	ECM1	687	0.530712
A	default	ICOSLG	688	0.530026
A	default	FMOD	689	0.53
A	default	PEBP4	690	0.53
A	default	NEDD8	691	0.529739
A	default	ACOT7	692	0.529679
A	default	NUCB2	693	0.529629
A	default	CPN2	694	0.529422
A	default	ATP1A3	695	0.52925
A	default	MAP1B	696	0.528925
A	default	GOLGA2	697	0.528845
A	default	C1QTNF4	698	0.528673
A	default	VSTM2B	699	0.528574
A	default	NIF3L1	700	0.528192
A	default	ACLY	701	0.528033
A	default	MYDGF	702	0.527976
A	default	APOE	703	0.527524
A	default	ICAM5	704	0.52747
A	default	FBXO2	705	0.527357
A	default	MSN	706	0.527335
A	default	HEPH	707	0.527076
A	default	IDH1	708	0.526849
A	default	LAMB2	709	0.526742
A	default	HGFAC	710	0.526646
A	default	CZIB	711	0.526584
A	default	PGK2	712	0.526404
A	default	ASS1	713	0.525947
A	default	RCN2	714	0.525248
A	default	AKR1B1	715	0.525133
A	default	VAMP2	716	0.524933
A	default	PDCD6IP	717	0.524731
A	default	GSTM2	718	0.524571
A	default	RIDA	719	0.52445
A	default	BCAM	720	0.524405
A	default	B4GALNT1	721	0.524062
A	default	ADGRL2	722	0.523953
A	default	AARS1	723	0.523929
A	default	LRRN1	724	0.523754
A	default	TMEM132E	725	0.523754
A	default	PON1	726	0.523695
A	default	NQO2	727	0.523469
A	default	HSPH1	728	0.52344
A	default	CRYZ	729	0.523293
A	default	CD9	730	0.522848
A	default	CALB2	731	0.522768
A	default	CHI3L1	732	0.522622
A	default	USP16	733	0.522492
A	default	F13B	734	0.522444
A	default	PTPRM	735	0.522436
A	default	RPS8	736	0.521726
A	default	PCSK1	737	0.521262
A	default	SHISA7	738	0.521205
A	default	ISLR	739	0.520909
A	default	SNCA	740	0.520589
A	default	NXPH1	741	0.520432
A	default	CDC37	742	0.519992
A	default	MYO7A	743	0.51994
A	default	MAP1A	744	0.519702
A	default	SLITRK3	745	0.519575
A	default	PAFAH1B1	746	0.519466
A	default	IQGAP1	747	0.519319
A	default	NIT2	748	0.519292
A	default	LTBP4	749	0.519286
A	default	LAP3	750	0.51914
A	default	PEA15	751	0.518879
A	default	RDX	752	0.518684
A	default	ARPC5	753	0.518471
A	default	TXNDC5	754	0.518451
A	default	NRXN1	755	0.518306
A	default	HEPACAM	756	0.518304
A	default	DNAJC3	757	0.517939
A	default	CLIC4	758	0.517784
A	default	SHISA6	759	0.517634
A	default	GCLC	760	0.516887
A	default	MLEC	761	0.516637
A	default	STX12	762	0.516499
A	default	APEX1	763	0.51642
A	default	AP1M1	764	0.516391
A	default	GPD1L	765	0.516152
A	default	PNOC	766	0.515631
A	default	ISOC1	767	0.515598
A	default	TRAP1	768	0.515435
A	default	FBLN2	769	0.515333
A	default	CRYAB	770	0.515327
A	default	GFRA1	771	0.515327
A	default	CANT1	772	0.515261
A	default	CAPG	773	0.515104
A	default	PPP2R1A	774	0.514897
A	default	DBNL	775	0.514651
A	default	PODXL2	776	0.514375
A	default	CFP	777	0.514286
A	default	XPNPEP1	778	0.514253
A	default	SDCBP	779	0.514237
A	default	NAGK	780	0.514232
A	default	UGGT1	781	0.514076
A	default	UNC5C	782	0.514043
A	default	KHSRP	783	0.513962
A	default	CBR1	784	0.513733
A	default	MIA3	785	0.513542
A	default	PEPD	786	0.513173
A	default	PDGFRB	787	0.512836
A	default	PAICS	788	0.512696
A	default	RNF13	789	0.512524
A	default	ADAM11	790	0.5125
A	default	PROS1	791	0.512246
A	default	CORO1A	792	0.512145
A	default	TIE1	793	0.511972
A	default	GBE1	794	0.510849
A	default	UBQLN2	795	0.510603
A	default	SPOCK1	796	0.510257
A	default	ENOPH1	797	0.510214
A	default	SAA4	798	0.510004
A	default	ROBO1	799	0.509485
A	default	HSPA13	800	0.509295
A	default	CYRIB	801	0.509229
A	default	ANP32B	802	0.508553
A	default	ISLR2	803	0.508519
A	default	ATP1A1	804	0.50844
A	default	FLNA	805	0.508377
A	default	NEFL	806	0.508371
A	default	JAM3	807	0.508198
A	default	ITGB1	808	0.508002
A	default	MAT2A	809	0.507652
A	default	NRXN2	810	0.507541
A	default	OXT	811	0.507143
A	default	MDGA2	812	0.507143
A	default	MANEAL	813	0.507143
A	default	LRP11	814	0.507143
A	default	TMEM132B	815	0.507143
A	default	CPM	816	0.507143
A	default	MARCKS	817	0.506933
A	default	ANXA1	818	0.50686
A	default	CYCS	819	0.506856
A	default	ADAMTS1	820	0.505975
A	default	MAT2B	821	0.505575
A	default	GSTO1	822	0.505464
A	default	RAC1	823	0.504865
A	default	SNAP25	824	0.504782
A	default	VAPB	825	0.504714
A	default	CPB2	826	0.504571
A	default	GNAS	827	0.504253
A	default	CCN3	828	0.504167
A	default	SAE1	829	0.503886
A	default	GPR158	830	0.503795
A	default	GALM	831	0.50374
A	default	ATF6	832	0.503571
A	default	SNCG	833	0.503571
A	default	MT1F	834	0.503423
A	default	ADGRB1	835	0.503276
A	default	SIL1	836	0.503274
A	default	CRELD2	837	0.503199
A	default	MAPRE1	838	0.502954
A	default	MAN1A2	839	0.502946
A	default	BPNT2	840	0.502528
A	default	GLG1	841	0.502457
